,step,x,y,z,person
0,0.0,0.6946399999999999,3.1735,7.5048,1
1,0.030639,0.14982,3.4868,9.2755,1
2,0.069763,-0.29965,1.9477,9.112,1
3,0.099823,-1.6889,1.4165,10.12,1
4,0.12982,-2.1793,0.95342,10.924000000000001,1
5,0.15979000000000002,-2.3018,0.23155,10.651,1
6,0.18982000000000002,-1.4165,1.185,11.073,1
7,0.2204,-0.27241,2.2201,11.985999999999999,1
8,0.24975999999999998,-0.61292,2.2201,11.985999999999999,1
9,0.27971999999999997,1.3348,4.2495,11.414000000000001,1
10,0.31801999999999997,3.4459,7.5865,12.599,1
11,0.34976,1.4982,4.9033,10.692,1
12,0.37985,-1.7979,1.1169,9.9156,1
13,0.40976,-2.3699,0.10895999999999999,9.003,1
14,0.44983,-1.4982,2.3427,9.2346,1
15,0.4798,-0.34051,3.2144,8.2403,1
16,0.50977,-0.23155,2.4925,8.4991,1
17,0.53979,-0.5311899999999999,1.5391,9.1529,1
18,0.56976,-1.5663,1.0351,10.800999999999998,1
19,0.5997899999999999,-1.5255,1.2258,11.345999999999998,1
20,0.62979,-0.8853200000000001,2.9148,9.7249,1
21,0.65982,-1.3076,2.3699,9.4253,1
22,0.68979,-0.65378,2.8739,8.9622,1
23,0.72055,0.23155,3.909,9.507,1
24,0.7500899999999999,-0.42223,2.6423,9.8475,1
25,0.7811600000000001,-0.57205,2.4925,9.1937,1
26,0.80984,-0.65378,3.4459,8.0088,1
27,0.8398700000000001,-0.34051,3.5277,9.112,1
28,0.8698100000000001,-0.34051,3.1463,9.7249,1
29,0.8997799999999999,-0.84446,3.2144,9.2346,1
30,0.9297799999999999,-1.0351,3.1463,9.5342,1
31,0.9599,-1.1169,2.8739,10.038,1
32,0.9898399999999999,-1.2258,3.5277,9.2346,1
33,1.0199,-1.0351,3.5958,8.8124,1
34,1.0498,-0.8036,3.7184,9.1529,1
35,1.0797,-0.72188,3.8273,8.9622,1
36,1.1098,-1.185,3.4051,8.431000000000001,1
37,1.1399,-1.6072,3.4051,8.7715,1
38,1.1699,-1.7298,3.4868,9.0848,1
39,1.1997,-1.757,3.6366,8.6898,1
40,1.2298,-1.757,3.9908,8.8532,1
41,1.2599,-1.9205,4.1406,8.8124,1
42,1.2903,-1.8387,4.0589,8.8124,1
43,1.3198,-1.7298,3.7184,8.54,1
44,1.3513,-1.757,3.8682,8.3084,1
45,1.3799,-1.757,3.7592,8.6625,1
46,1.4098,-1.757,3.6775,8.7306,1
47,1.4398,-1.9205,3.8682,9.1937,1
48,1.4698,-1.757,4.0589,9.0439,1
49,1.4998,-1.5663,4.1814,8.7306,1
50,1.5298,-1.9886,3.6366,9.1529,1
51,1.5598,-1.8796,3.8682,8.7715,1
52,1.5898,-1.6481,3.909,8.9622,1
53,1.6198,-2.3018,2.9829,8.6625,1
54,1.6498,-2.3699,3.5277,8.6625,1
55,1.6799,-1.6889,3.909,9.112,1
56,1.7098,-1.2258,4.0589,9.2755,1
57,1.7401,-1.3348,4.1406,9.3436,1
58,1.7698,-1.9205,3.9499,8.6217,1
59,1.7998,-2.4925,3.2961,8.9213,1
60,1.8298,-2.9556,2.7649,8.6217,1
